======================================================================
|  Staff ID     |  Staff Name          | LogIn date | LogIn | LogOut |
| 21WWW01687    | ALI                  | 13/03/2022 | 02:08 |  02:08 |
| 21WMD01688    | LEE LING             | 13/03/2022 | 17:44 |  17:46 |
| 21WMD07711    | LIM YI JIE           | 13/03/2022 | 17:46 |  17:47 |
| 21WMD01691    | EMILY LOH            | 13/03/2022 | 17:47 |  17:47 |
| 21WMD01687    | Gan Zhi Ken          | 13/03/2022 | 17:49 |  17:50 |
| 21WMD01688    | LEE LING             | 13/03/2022 | 17:52 |  17:56 |
| 21WMD01687    | Gan Zhi Ken          | 13/03/2022 | 17:58 |  17:59 |
| 21WMD01691    | EMILY LOH            | 13/03/2022 | 18:00 |  18:00 |
| 21WMD01687    | Gan Zhi Ken          | 13/03/2022 | 18:05 |  18:05 |
| 21WMD01690    | ABU                  | 13/03/2022 | 18:06 |  18:06 |
| 21WMD01693    | JOHNNY LEE           | 13/03/2022 | 18:06 |  18:07 |
| 21WMD01687    | Gan Zhi Ken          | 13/03/2022 | 18:07 |  18:07 |
| 21WMD07711    | LIM YI JIE           | 13/03/2022 | 18:22 |  18:25 |
| 21WMD01690    | ABU                  | 13/03/2022 | 18:27 |  18:29 |
| 21WOA45687    | ADAM                 | 15/03/2022 | 00:12 |  00:21 |
| 21WMD01687    | Gan Zhi Ken          | 15/03/2022 | 00:27 |  00:28 |
| 21WMD01690    | ABU                  | 15/03/2022 | 00:37 |  00:41 |
| 21WMD01687    | Gan Zhi Ken          | 15/03/2022 | 00:41 |  00:41 |
| 21WOA45687    | ADAM                 | 15/03/2022 | 00:41 |  00:42 |
| 21WMD01689    | CHRIS NG             | 15/03/2022 | 00:42 |  00:45 |
| 21WMD01687    | Gan Zhi Ken          | 15/03/2022 | 00:46 |  00:47 |
| 21WMD01693    | JOHNNY LEE           | 15/03/2022 | 00:47 |  00:52 |
| 21WMD07711    | LIM YI JIE           | 15/03/2022 | 00:56 |  00:57 |
| 21WMD01687    | Gan Zhi Ken          | 15/03/2022 | 01:05 |  01:06 |
| 21WBD09183    | SOH JIA CHIN         | 15/03/2022 | 01:06 |  01:07 |
| 21WMD01688    | LEE LING             | 15/03/2022 | 01:09 |  01:10 |
| 21WMD01687    | Gan Zhi Ken          | 15/03/2022 | 01:19 |  01:19 |
| 21WBD09183    | SOH JIA CHIN         | 15/03/2022 | 01:22 |  01:22 |
| 21WMD01688    | LEE LING             | 15/03/2022 | 01:22 |  01:23 |
| 21WMD01687    | Gan Zhi Ken          | 15/03/2022 | 01:26 |  01:27 |
| 21WMD01690    | ABU                  | 15/03/2022 | 01:30 |  01:30 |
| 21WOA45687    | ADAM                 | 15/03/2022 | 01:31 |  01:31 |
| 21WMD01687    | Gan Zhi Ken          | 15/03/2022 | 01:33 |  01:33 |
| 21WMD01690    | ABU                  | 15/03/2022 | 01:34 |  01:35 |
| 21WMD01694    | SITI                 | 15/03/2022 | 01:35 |  01:36 |
| 21WMD01692    | PETER LIM            | 15/03/2022 | 01:40 |  01:42 |
| 21WMD01687    | Gan Zhi Ken          | 15/03/2022 | 01:44 |  01:44 |
| 21WOA45687    | ADAM                 | 16/03/2022 | 00:51 |  00:53 |
| 21WMD01688    | LEE LING             | 16/03/2022 | 00:54 |  00:55 |
| 21WMD01687    | Gan Zhi Ken          | 16/03/2022 | 01:02 |  01:02 |
| 21WMD01693    | JOHNNY LEE           | 16/03/2022 | 15:54 |  16:04 |
| 21WMD01687    | Gan Zhi Ken          | 16/03/2022 | 16:06 |  16:06 |
| 21WMD01689    | CHRIS NG             | 16/03/2022 | 16:06 |  16:09 | 
| 21WMD07711    | LIM YI JIE           | 16/03/2022 | 16:09 |  16:10 |
| 21WMD01687    | Gan Zhi Ken          | 16/03/2022 | 16:10 |  16:10 |
| 21WMD01693    | JOHNNY LEE           | 16/03/2022 | 16:10 |  16:11 |
| 21WMD01694    | SITI                 | 16/03/2022 | 16:35 |  16:36 |
| 21WMD01694    | SITI                 | 16/03/2022 | 16:37 |  16:40 |
| 21WMD01692    | PETER LIM            | 18/03/2022 | 16:12 |  16:12 |
| 21WMD01687    | Gan Zhi Ken          | 18/03/2022 | 16:13 |  16:14 |
| 21WMD01690    | ABU                  | 18/03/2022 | 16:14 |  16:14 |
| 21WMD01692    | PETER LIM            | 18/03/2022 | 16:16 |  16:16 |
| 21WMD01687    | Gan Zhi Ken          | 18/03/2022 | 16:17 |  16:17 |
| 21WMD01689    | CHRIS NG             | 18/03/2022 | 16:19 |  16:19 |
| 21WBD09183    | SOH JIA CHIN         | 18/03/2022 | 16:20 |  16:20 |
| 21WMD01691    | EMILY LOH            | 18/03/2022 | 16:21 |  16:21 |
| 21WMD01694    | SITI                 | 18/03/2022 | 16:21 |  16:24 |
| 21WMD01687    | Gan Zhi Ken          | 18/03/2022 | 16:24 |  16:26 |
| 21WMD01688    | LEE LING             | 18/03/2022 | 16:26 |  16:26 |
| 21WMD01687    | Gan Zhi Ken          | 18/03/2022 | 16:28 |  16:29 |
| 21WOA45687    | ADAM                 | 18/03/2022 | 16:29 |  16:31 |
| 21WMD01691    | EMILY LOH            | 18/03/2022 | 16:31 |  16:31 |
| 21WBD09183    | SOH JIA CHIN         | 18/03/2022 | 16:32 |  16:32 |
| 21WMD01689    | CHRIS NG             | 18/03/2022 | 16:39 |  16:41 |
| 21WMD01687    | Gan Zhi Ken          | 18/03/2022 | 16:41 |  16:41 |
| 21WMD01690    | ABU                  | 18/03/2022 | 16:41 |  16:44 |
| 21WMD07711    | LIM YI JIE           | 18/03/2022 | 19:10 |  19:10 |
| 21WMD01692    | PETER LIM            | 18/03/2022 | 19:11 |  19:11 |
| 21WMD01687    | Gan Zhi Ken          | 18/03/2022 | 19:11 |  19:11 |
| 21WMD01688    | LEE LING             | 18/03/2022 | 19:15 |  19:15 |
| 21WOA45687    | ADAM                 | 18/03/2022 | 19:17 |  19:17 |
| 21WMD01694    | SITI                 | 18/03/2022 | 19:19 |  19:19 |
| 21WMD01689    | CHRIS NG             | 18/03/2022 | 19:27 |  19:27 |
| 21WMD01687    | Gan Zhi Ken          | 18/03/2022 | 19:30 |  19:30 |
| 21WMD01690    | ABU                  | 20/03/2022 | 22:46 |  22:46 |
| 21WMD01694    | SITI                 | 20/03/2022 | 22:55 |  22:58 |
| 21WMD01688    | LEE LING             | 20/03/2022 | 22:58 |  23:11 |
| 21WMD01687    | Gan Zhi Ken          | 20/03/2022 | 23:12 |  23:15 |
| 21WOA45687    | ADAM                 | 20/03/2022 | 23:45 |  23:46 |
| 21WMD01689    | CHRIS NG             | 21/03/2022 | 00:07 |  00:08 |
| 21WMD01687    | Gan Zhi Ken          | 21/03/2022 | 21:39 |  21:39 |
| 21WMD01688    | LEE LING             | 23/03/2022 | 23:15 |  23:23 |
| 21WMD07711    | LIM YI JIE           | 23/03/2022 | 23:24 |  23:25 |
| 21WMD01692    | PETER LIM            | 23/03/2022 | 23:25 |  23:25 |
| 21WMD01694    | SITI                 | 23/03/2022 | 23:59 |  00:02 |
| 21WOA45687    | ADAM                 | 25/03/2022 | 18:36 |  20:21 |
| 21WMD01687    | GAN ZHI KEN          | 30/03/2022 | 16:38 |  16:38 |
| 21WMD01687    | GAN ZHI KEN          | 30/03/2022 | 22:43 |  22:43 |
| 21WMD01687    | GAN ZHI KEN          | 30/03/2022 | 22:44 |  22:44 |
| 21WMD07711    | LIM YI JIE           | 01/04/2022 | 16:21 |  16:22 |
| 21WMD07711    | LIM YI JIE           | 01/04/2022 | 16:26 |  16:29 |
| 21WMD01687    | GAN ZHI KEN          | 01/04/2022 | 16:33 |  16:39 |
| 21WMD01687    | GAN ZHI KEN          | 01/04/2022 | 16:41 |  16:42 |
| 21WMD01687    | GAN ZHI KEN          | 01/04/2022 | 16:42 |  16:43 |
| 21WMD01687    | GAN ZHI KEN          | 01/04/2022 | 16:45 |  16:51 |
| 21WMD01687    | GAN ZHI KEN          | 01/04/2022 | 22:12 |  22:14 |
| 21WMD01687    | GAN ZHI KEN          | 01/04/2022 | 22:18 |  22:18 |
| 21WMD01692    | PETER LIM            | 01/04/2022 | 22:24 |  22:34 |
| 21WMD01687    | GAN ZHI KEN          | 01/04/2022 | 23:11 |  23:18 |
| 21WMD01687    | GAN ZHI KEN          | 01/04/2022 | 23:18 |  23:18 |
| 21WMD01687    | GAN ZHI KEN          | 01/04/2022 | 23:22 |  23:22 |
| 21WMD01688    | LEE LING             | 04/09/2022 | 23:40 |  23:41 |
| 21WMD01688    | LEE LING             | 05/09/2022 | 00:54 |  23:41 |
| 21WMD01688    | LEE LING             | 17/01/2025 | 16:06 |  16:07 |
| 21WMD01688    | LEE LING             | 17/01/2025 | 16:16 |  16:19 |
